sym,title1,newstime,desc
BHP,Miners bounce back as UBS ups iron ore forecast,"Fri, May 24, 2:22 PM","Iron ore futures in China capped a fourth straight weekly gain as UBS raised its price forecast for the year to $90/mt, sending big miners higher: BHP +2.5%, RIO +1.7%, VALE +2.6%.The firm foresees a 70M-ton supply shortfall that probably explains why the iron ore price remains stubbornly high at ~$100/mt despite growing macroeconomic headwinds that are weighing on other metal prices.RBC Capital lifts its iron ore forecast to $82/mt, anticipating a supply deficit of 83M mt owing to strong Chinese demand, followed by a 55M-ton surplus in 2020.Goldman Sachs, which hiked its iron ore price forecast to $91/mt earlier this week, and RBC both believe the iron ore market probably is at its peak in terms of supply tightness.Other relevant tickers include OTCQX:FSUMF, OTCQX:AAUKF, OTCPK:AAUKY, OTCPK:GLCNF, OTCPK:GLNCY"
CVNA,Carvana -4% after Ernest Garcia II sells shares,"Fri, May 24, 2:15 PM",Carvana (NYSE:CVNA) is down 4.40% after the company discloses that Ernest Garcia II (not CEO Ernest Garcia III) sold approximately 395K shares in a range of $65.17 to $69.07 between May 21 and May 22.SEC Form 4
V,Visa's CFO takes on expanded role,"Fri, May 24, 2:12 PM","Visa's (V +0.5%) executive vice president and CFO Vasant Prabhu will take on the additional title of vice chairman.In his expanded role, Prabhu will represent Visa at payments industry forums and will also provide counsel on major initiatives and geographies important to Visa's future growth.Prabhu was named CFO in 2015."
EROS,Eros Now reaches streaming deal with Tata Sky,"Fri, May 24, 2:01 PM","India streamer Eros Now (EROS +4.2%) has reached a deal with Tata Sky to make its content available on the Tata Sky Binge platform.Tata Sky Binge is available to Tata Sky subscribers at 249 rupees/month (about $3.59) and is accessible through the Amazon Fire TV Stick - Tata Sky Edition.That will get Tata subs access to more than 12,000 titles in movies, original series, music, music videos and short-form videos."
,Good news/bad news: More disappointments than upside surprises,"Fri, May 24, 2:01 PM","The good news is that April durable goods orders were slightly stronger than expected, and the bad news is that the figures for March were revised down. In fact, the March core durable goods number was trimmed to a decline vs. the initial estimate of an increase.April housing sales -- both new and existing --  weakened, hitting homebuilder stocks.Stronger-than-expected:  April durable goods orders fell 2.1%, a bit better than the -2.2% expected; +1.7% prior (revised from +2.7%); and core durable goods came in flat vs. -0.1% expected, -0.5% prior (revised from +0.4%).Weaker-than-expected: May manufacturing indexes and April housing data both trailed estimates this week; Kansas City Fed Composite Index, +4 trailed the +6 estimate and rose less than +5 in April.Keep in mind that this is just data released this week and doesn't give a long-term view of the trends."
,On the hour,"Fri, May 24, 2:00 PM","Dow +0.37%.10-yr -0.01%.Euro +0.25 vs. dollar.Crude +0.71% to $58.35.Gold -0.11% to $1,284.05.Bitcoin +4.18% to $8,077.5."
,Hi-Crush Partners and Basic Energy Services among Energy/Materials gainers; Lightbridge and Rosehill Resources among losers,"Fri, May 24, 1:59 PM",Gainers: Hi-Crush Partners (NYSE:HCLP) +14%. Basic Energy Services (NYSE:BAS) +10%. Friedman Industries (NYSEMKT:FRD) +6%. Calumet Specialty Products Partners (NASDAQ:CLMT) +5%. NextDecade (NASDAQ:NEXT) +5%.Losers: Lightbridge (NASDAQ:LTBR) -27%. Rosehill Resources (NASDAQ:ROSE) -9%. Lonestar Resources US (NASDAQ:LONE) -8%. Nabors Industries (NYSE:NBR) -8%. AK Steel (NYSE:AKS) -6%.
CTSH,Cognizant +1.5% on insider purchase,"Fri, May 24, 1:55 PM","Cognizant (NASDAQ:CTSH) CEO Brian Humphries acquired 19K shares at an average price of $61.097, according to a filing.Humphries was named as CTSH's new CEO earlier this year.CTSH shares are up 1.5% to $61.98."
INCY,FDA OKs Incyte's Jakafi for GvHD,"Fri, May 24, 1:41 PM",The FDA approves Incyte's (INCY +1%) Jakafi (ruxolitinib) for the treatment of steroid-refractory acute graft-versus-host disease (GvHD) in patients at least 12 years old.The kinase inhibitor was previously approved in the U.S. to treat myelofibrosis and polycythemia vera.Jakafi package insert
SPACE,SpaceX discloses share sales,"Fri, May 24, 1:38 PM",SpaceX (SPACE) says it sold off $535M in equity to five different investors.Another $5M of the total $540M equity investment is still due to sold.SEC Form D
